Hours of Study,Previous Exam %,IQ,Attendance %,Average Quiz Score,Exam Result
5.2,75,110,95,88,1
1.1,50,95,60,55,0
8.3,85,120,100,92,1
3.4,62,105,80,70,0
6.1,90,115,98,95,1
2.2,45,90,50,48,0
7.5,80,118,90,85,1
4.6,70,108,85,78,1
1.5,55,100,65,60,0
9.0,95,125,100,98,1
2.5,68,102,75,72,0
5.5,78,112,92,84,1
3.5,58,98,70,65,0
6.5,82,114,96,90,1
1.2,40,93,45,42,0
4.9,88,111,94,87,1
2.8,60,97,68,63,0
7.8,84,122,99,91,1
3.0,52,104,72,67,0
5.8,79,109,93,86,1
2.1,48,91,55,50,0
6.8,91,116,97,94,1
4.1,65,103,82,75,0
8.0,86,121,99,93,1
1.8,53,96,62,58,0
5.9,81,113,91,89,1
3.8,59,99,71,66,0
7.1,83,119,95,89,1
2.3,46,94,58,52,0
6.2,89,117,96,93,1
4.0,69,106,84,77,1
1.7,49,92,52,51,0
8.5,87,123,98,96,1
3.2,56,101,69,64,0
5.3,76,107,89,81,1
2.7,51,98,64,61,0
7.0,85,115,97,90,1
4.3,73,110,88,80,1
1.4,43,94,51,45,0
6.6,88,118,99,91,1
3.6,61,103,78,71,0
5.1,77,111,93,85,1
2.9,57,97,66,62,0
7.4,82,120,95,88,1
4.5,72,109,86,79,1
1.6,47,96,54,50,0
6.9,92,119,98,95,1
3.9,64,105,81,74,0
8.1,89,122,99,94,1
2.4,54,99,63,59,0
5.6,79,112,91,86,1
3.7,60,98,70,68,0
7.2,84,117,96,91,1
1.9,48,93,55,51,0
6.3,90,116,97,93,1
4.2,71,104,83,76,0
8.4,87,124,99,97,1
3.1,55,100,67,65,0
5.7,78,110,90,83,1
2.6,50,95,61,58,0
7.3,86,118,94,89,1
4.4,74,107,87,80,1
1.3,42,95,48,44,0
6.7,89,117,98,92,1
3.3,63,106,79,73,0
5.4,77,108,90,84,1
2.0,46,91,53,47,0
8.6,91,125,100,96,1
2.7,58,99,68,64,0
7.6,82,113,94,88,1
4.8,75,109,88,82,1
1.0,44,90,50,45,0
6.4,88,115,96,91,1
3.9,60,102,75,69,0
5.8,81,112,92,86,1
2.3,53,98,65,61,0
7.9,85,120,98,93,1
4.0,67,106,82,76,0
8.2,90,121,99,95,1
1.9,49,93,56,50,0
5.5,76,110,91,85,1
3.1,59,101,72,68,0
7.7,83,119,97,90,1
4.5,70,108,85,78,1
1.4,41,94,49,43,0
6.8,87,116,95,92,1
3.5,62,105,77,71,0
5.9,80,111,93,87,1
2.5,56,97,67,63,0
7.4,84,118,96,89,1
4.3,71,109,86,79,1
1.6,45,92,52,48,0
6.9,93,120,99,95,1
3.8,64,103,80,74,0
8.1,88,122,100,94,1
2.4,55,99,65,60,0
5.6,79,112,91,86,1
3.2,58,98,69,65,0
7.2,86,117,95,91,1
2.0,47,93,58,52,0
6.3,89,116,97,93,1
4.2,70,104,83,76,0